location_inc,territory_name,year,bd_best,bd_low,bd_high,battle_location,region
Indonesia,East Timor,1999,26,26,30,Indonesia,Asia
Morocco,Sahrawi Arab Democratic Republic (Western Sahara),1989,207,207,378,Morocco,Africa
Mozambique,,2016,55,46,64,Mozambique,Africa
Mozambique,,2018,53,47,55,Mozambique,Africa
Mozambique,,2019,97,93,99,Mozambique,Africa
Mozambique,,1989,1149,1144,3750,Mozambique,Africa
Mozambique,,1990,1577,327,1577,Mozambique,Africa
Mozambique,,1991,1326,365,2359,Mozambique,Africa
Mozambique,,1992,309,309,445,Mozambique,Africa
Mozambique,,2013,42,29,112,Mozambique,Africa
Mozambique,,2014,30,22,35,Mozambique,Africa
India,Western South East Asia,2016,47,47,69,India,Asia
India,Western South East Asia,2017,39,39,41,India,Asia
India,Western South East Asia,2018,27,26,28,India,Asia
India,Western South East Asia,2015,161,98,192,India,Asia
Afghanistan,,1989,5174,1904,17051,Afghanistan,Asia
Afghanistan,,1990,1478,1323,2275,Afghanistan,Asia
Afghanistan,,1991,3302,3156,3802,Afghanistan,Asia
Afghanistan,,1992,4276,4259,5460,Afghanistan,Asia
Afghanistan,,1993,3721,3713,7805,Afghanistan,Asia
Afghanistan,,1994,8937,8937,11955,Afghanistan,Asia
Afghanistan,,1995,5516,5516,6490,"Afghanistan, Pakistan",Asia
Afghanistan,,1996,3177,3161,3638,Afghanistan,Asia
Afghanistan,,1997,6396,4244,8281,Afghanistan,Asia
Afghanistan,,1998,6256,6168,7698,Afghanistan,Asia
Afghanistan,,1999,4629,4594,4945,Afghanistan,Asia
Afghanistan,,2000,5235,4053,5511,Afghanistan,Asia
Afghanistan,,2001,2328,2217,7657,Afghanistan,Asia
Afghanistan,,2002,30,30,30,Afghanistan,Asia
Afghanistan,,2003,660,646,984,Afghanistan,Asia
Afghanistan,,2004,711,669,1245,"Afghanistan, Pakistan",Asia
Afghanistan,,2005,1628,1424,1992,"Afghanistan, Pakistan",Asia
Afghanistan,,2006,4734,4665,5543,"Afghanistan, Pakistan",Asia
Afghanistan,,2007,6848,6303,8386,"Afghanistan, Pakistan",Asia
Afghanistan,,2008,5655,5204,7189,"Afghanistan, Pakistan",Asia
Afghanistan,,2009,6390,5659,8063,"Afghanistan, Pakistan",Asia
Afghanistan,,2010,7038,6865,8465,"Afghanistan, Pakistan",Asia
Afghanistan,,2011,7423,7279,8290,"Afghanistan, Pakistan",Asia
Afghanistan,,2012,7730,7558,8541,"Afghanistan, Pakistan",Asia
Afghanistan,,2013,8048,7612,10172,"Afghanistan, Pakistan",Asia
Afghanistan,,2014,12351,11561,15724,"Afghanistan, Pakistan",Asia
Afghanistan,,2015,16581,15562,19807,"Afghanistan, Pakistan",Asia
Afghanistan,,2016,15775,14410,22162,"Afghanistan, Pakistan",Asia
Afghanistan,,2017,16179,15404,17689,"Afghanistan, Pakistan",Asia
Afghanistan,,2018,22837,21486,24818,"Afghanistan, Pakistan",Asia
Afghanistan,,2019,28828,26973,33289,Afghanistan,Asia
Afghanistan,,2020,20159,18696,21387,Afghanistan,Asia
Afghanistan,,2021,35329,33413,39549,Afghanistan,Asia
Afghanistan,,2022,600,383,1167,Afghanistan,Asia
India,Tripura,1992,29,29,31,India,Asia
India,Tripura,1997,72,52,72,India,Asia
India,Tripura,1999,32,38,38,India,Asia
India,Tripura,2000,61,59,64,India,Asia
India,Tripura,2001,32,32,32,India,Asia
India,Tripura,2002,40,40,40,India,Asia
India,Tripura,2003,32,32,32,India,Asia
India,Tripura,2004,26,26,26,India,Asia
Nicaragua,,1989,526,526,533,Nicaragua,Americas
Nicaragua,,1990,39,39,43,Nicaragua,Americas
Somalia,,1989,379,379,4504,"Djibouti, Somalia",Africa
Somalia,,1990,2710,1641,2962,"Djibouti, Somalia",Africa
Somalia,,1991,8005,7230,9005,Somalia,Africa
Somalia,,1992,1154,1154,9823,Somalia,Africa
Somalia,,1993,25,18,25,Somalia,Africa
Somalia,,1994,237,237,614,Somalia,Africa
Somalia,,1995,104,97,108,Somalia,Africa
Somalia,,1996,256,255,308,Somalia,Africa
Somalia,,2001,228,223,268,Somalia,Africa
Somalia,,2002,114,113,207,Somalia,Africa
Somalia,,2006,547,463,1293,Somalia,Africa
Somalia,,2007,1546,1528,2046,"Somalia, Kenya",Africa
Somalia,,2008,1491,1433,2075,Somalia,Africa
Somalia,,2009,1467,1263,1751,Somalia,Africa
Somalia,,2010,2150,1915,2355,Somalia,Africa
Somalia,,2011,1938,1559,2259,"Somalia, Kenya",Africa
Somalia,,2012,2646,2470,2945,"Somalia, Kenya",Africa
Somalia,,2013,940,760,1769,"Somalia, Kenya, Ethiopia",Africa
Somalia,,2014,1153,905,2303,"Somalia, Kenya, Ethiopia",Africa
Somalia,,2015,1206,927,2502,"Somalia, Kenya",Africa
Somalia,,2016,1933,1207,3127,Somalia,Africa
Somalia,,2017,1918,1778,2601,Somalia,Africa
Somalia,,2018,2083,1814,2954,Somalia,Africa
Somalia,,2019,1910,1660,2395,Somalia,Africa
Somalia,,2020,1901,1866,2192,Somalia,Africa
Somalia,,2021,2119,2110,2645,"Somalia, Ethiopia",Africa
Somalia,,2022,3034,3006,4233,"Somalia, Ethiopia",Africa
Iran,,2018,28,27,37,"Iraq, Iran",Middle East
Iran,,2019,31,31,46,Iran,Middle East
Iran,,2020,35,27,44,"Iraq, Iran",Middle East
Iran,,2021,30,18,30,"Iraq, Iran",Middle East
Iran,,1991,45,45,45,"Iraq, Iran",Middle East
Iran,,1993,76,76,152,"Italy, Iraq, Iran, Pakistan",Middle East
Iran,,1997,38,38,42,"Iraq, Iran",Middle East
Iran,,1999,28,28,35,"Iraq, Iran",Middle East
Iran,,2000,40,40,77,"Iraq, Iran",Middle East
Iran,,2001,119,119,149,"Iraq, Iran",Middle East
Iran,,2005,28,28,37,Iran,Middle East
Iran,,2006,57,52,123,"Iraq, Iran",Middle East
Iran,,2007,86,61,200,"Iraq, Iran",Middle East
Iran,,2008,121,121,265,"Iraq, Iran, Pakistan",Middle East
Iran,,2009,133,121,148,Iran,Middle East
Iran,,2010,74,74,74,Iran,Middle East
Iran,,2011,242,235,246,"Iraq, Iran",Middle East
Liberia,,1989,27,27,27,Liberia,Africa
Liberia,,1990,347,347,431,"Liberia, Ivory Coast",Africa
Liberia,,2000,57,57,57,Liberia,Africa
Liberia,,2001,341,341,341,Liberia,Africa
Liberia,,2002,492,391,517,Liberia,Africa
Liberia,,2003,1787,1787,1887,Liberia,Africa
Spain,Basque,1991,45,45,45,Spain,Europe
Tunisia,,2013,29,29,30,Tunisia,Africa
Tunisia,,2014,50,50,60,Tunisia,Africa
Tunisia,,2015,57,59,61,Tunisia,Africa
India,Manipur,1993,25,25,25,India,Asia
India,Manipur,1994,25,25,25,India,Asia
India,Manipur,1995,25,25,25,India,Asia
India,Manipur,1996,28,28,28,India,Asia
India,Manipur,1998,25,25,25,India,Asia
India,Manipur,1999,31,31,31,India,Asia
India,Manipur,2000,60,60,64,India,Asia
India,Manipur,2003,27,27,27,India,Asia
India,Manipur,2004,60,60,60,India,Asia
India,Manipur,2005,47,47,53,India,Asia
India,Manipur,2006,73,69,75,India,Asia
India,Manipur,2007,45,45,73,India,Asia
India,Manipur,2008,99,99,100,India,Asia
India,Manipur,2009,96,59,114,India,Asia
India,Punjab/Khalistan,1989,905,905,928,India,Asia
India,Punjab/Khalistan,1990,1839,1839,1882,India,Asia
India,Punjab/Khalistan,1991,2673,2673,2739,India,Asia
India,Punjab/Khalistan,1992,2390,2390,2444,India,Asia
India,Punjab/Khalistan,1993,358,358,360,India,Asia
Sri Lanka,Eelam,1989,145,145,145,Sri Lanka,Asia
Sri Lanka,Eelam,1990,3561,3561,4600,Sri Lanka,Asia
Sri Lanka,Eelam,1991,6432,6432,6787,Sri Lanka,Asia
Sri Lanka,Eelam,1992,4091,4091,4247,Sri Lanka,Asia
Sri Lanka,Eelam,1993,2075,2075,2347,Sri Lanka,Asia
Sri Lanka,Eelam,1994,657,657,746,Sri Lanka,Asia
Sri Lanka,Eelam,1995,4755,4748,5062,Sri Lanka,Asia
Sri Lanka,Eelam,1996,3868,3868,4254,"France, Sri Lanka",Asia
Sri Lanka,Eelam,1997,2880,2880,3959,Sri Lanka,Asia
Sri Lanka,Eelam,1998,3762,3763,4420,Sri Lanka,Asia
Sri Lanka,Eelam,1999,1882,1882,2616,Sri Lanka,Asia
Sri Lanka,Eelam,2000,2525,2525,4155,Sri Lanka,Asia
Sri Lanka,Eelam,2001,1144,1144,1145,Sri Lanka,Asia
Sri Lanka,Eelam,2003,29,17,46,Sri Lanka,Asia
Sri Lanka,Eelam,2005,88,88,90,Sri Lanka,Asia
Sri Lanka,Eelam,2006,1970,1970,2845,Sri Lanka,Asia
Sri Lanka,Eelam,2007,2494,2391,3070,Sri Lanka,Asia
Sri Lanka,Eelam,2008,8262,8262,9917,Sri Lanka,Asia
Sri Lanka,Eelam,2009,10165,10136,13702,Sri Lanka,Asia
Cameroon,,2016,32,32,32,Cameroon,Africa
Cameroon,,2017,63,63,63,Cameroon,Africa
Cameroon,,2020,28,28,34,Cameroon,Africa
Cameroon,,2022,31,26,43,Cameroon,Africa
Cameroon,,2015,712,712,712,Cameroon,Africa
Turkey,Kurdistan,1989,442,442,442,Turkey,Middle East
Turkey,Kurdistan,1990,526,514,525,Turkey,Middle East
Turkey,Kurdistan,1991,353,353,358,"Iraq, Turkey",Middle East
Turkey,Kurdistan,1992,1637,1637,1717,"Iraq, Turkey",Middle East
Turkey,Kurdistan,1993,2301,2301,2589,Turkey,Middle East
Turkey,Kurdistan,1994,4105,4104,4207,"Iraq, Turkey",Middle East
Turkey,Kurdistan,1995,3216,3216,3311,"Iraq, Turkey",Middle East
Turkey,Kurdistan,1996,3942,3945,4035,"Iraq, Turkey",Middle East
Turkey,Kurdistan,1997,4653,4652,5874,"Iraq, Turkey",Middle East
Turkey,Kurdistan,1998,2068,2072,2157,"Iraq, Turkey",Middle East
Turkey,Kurdistan,1999,1400,1400,1477,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2000,176,176,180,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2001,132,132,147,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2002,54,54,73,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2003,82,82,85,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2004,195,195,333,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2005,263,258,294,Turkey,Middle East
Turkey,Kurdistan,2006,225,225,276,Turkey,Middle East
Turkey,Kurdistan,2007,499,499,521,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2008,588,550,974,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2009,147,142,162,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2010,355,346,413,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2011,592,591,759,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2012,853,853,866,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2013,31,31,35,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2015,907,902,1402,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2016,1061,1061,1071,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2017,707,707,722,"Syria, Iraq, Turkey",Middle East
Turkey,Kurdistan,2018,894,886,902,"Iraq, Iran, Turkey",Middle East
Turkey,Kurdistan,2019,540,540,621,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2020,367,364,383,"Iraq, Turkey",Middle East
Turkey,Kurdistan,2021,426,416,525,"Syria, Iraq, Turkey",Middle East
Turkey,Kurdistan,2022,575,569,591,"Iraq, Turkey",Middle East
DR Congo (Zaire),Islamic State,2019,170,162,175,DR Congo (Zaire),Africa
DR Congo (Zaire),Islamic State,2020,644,641,702,DR Congo (Zaire),Africa
DR Congo (Zaire),Islamic State,2021,622,594,646,DR Congo (Zaire),Africa
DR Congo (Zaire),Islamic State,2022,577,569,660,DR Congo (Zaire),Africa
Togo,,2022,34,19,59,Togo,Africa
Burkina Faso,,2018,79,70,103,Burkina Faso,Africa
Burkina Faso,,2019,271,185,404,Burkina Faso,Africa
Burkina Faso,,2020,352,183,359,Burkina Faso,Africa
Burkina Faso,,2021,821,706,924,Burkina Faso,Africa
Burkina Faso,,2022,1643,1550,1870,Burkina Faso,Africa
Uganda,Islamic State,2022,25,25,28,Uganda,Africa
Bangladesh,Islamic State,2016,41,41,41,Bangladesh,Asia
Bangladesh,Islamic State,2017,47,47,48,Bangladesh,Asia
Lebanon,Islamic State,2017,70,69,96,Lebanon,Middle East
Lebanon,Islamic State,2014,126,126,126,Lebanon,Middle East
Lebanon,Islamic State,2015,76,42,135,Lebanon,Middle East
Comoros,,1989,29,29,30,Comoros,Africa
Ethiopia,Afar,1996,25,25,25,Ethiopia,Africa
India,Kashmir,1990,407,402,586,India,Asia
India,Kashmir,1991,330,330,551,India,Asia
India,Kashmir,1992,265,265,337,India,Asia
India,Kashmir,1993,846,845,1159,India,Asia
India,Kashmir,1994,958,955,1148,India,Asia
India,Kashmir,1995,687,687,894,India,Asia
India,Kashmir,1996,489,489,1232,India,Asia
India,Kashmir,1997,533,533,555,India,Asia
India,Kashmir,1998,576,576,701,India,Asia
India,Kashmir,1999,864,844,883,India,Asia
India,Kashmir,2000,2291,2278,2352,"Pakistan, India",Asia
India,Kashmir,2001,804,733,3555,India,Asia
India,Kashmir,2002,1498,1498,1498,India,Asia
India,Kashmir,2003,1328,1308,1464,India,Asia
India,Kashmir,2004,1359,1174,1391,India,Asia
India,Kashmir,2005,1058,1055,1139,India,Asia
India,Kashmir,2006,705,698,728,India,Asia
India,Kashmir,2007,550,540,562,India,Asia
India,Kashmir,2008,500,482,525,India,Asia
India,Kashmir,2009,361,358,393,India,Asia
India,Kashmir,2010,370,365,437,India,Asia
India,Kashmir,2011,140,140,147,India,Asia
India,Kashmir,2012,144,143,147,India,Asia
India,Kashmir,2013,146,140,147,India,Asia
India,Kashmir,2014,179,178,228,India,Asia
India,Kashmir,2015,165,164,170,India,Asia
India,Kashmir,2016,282,282,297,"Afghanistan, India",Asia
India,Kashmir,2017,322,322,322,India,Asia
India,Kashmir,2018,386,387,391,India,Asia
India,Kashmir,2019,267,266,276,India,Asia
India,Kashmir,2020,311,311,312,"Pakistan, India",Asia
India,Kashmir,2021,250,247,254,"Pakistan, India",Asia
India,Kashmir,2022,235,235,237,India,Asia
India,Assam,1990,30,6,30,India,Asia
India,Assam,1994,25,25,126,India,Asia
India,Assam,1995,29,17,78,India,Asia
India,Assam,1996,48,48,53,India,Asia
India,Assam,1997,112,112,119,India,Asia
India,Assam,1998,55,55,57,India,Asia
India,Assam,1999,53,53,58,India,Asia
India,Assam,2000,87,76,87,India,Asia
India,Assam,2001,113,113,124,India,Asia
India,Assam,2002,59,59,59,India,Asia
India,Assam,2003,43,43,58,India,Asia
India,Assam,2004,70,69,74,India,Asia
India,Assam,2005,78,77,78,India,Asia
India,Assam,2006,49,49,50,India,Asia
India,Assam,2007,114,114,120,India,Asia
India,Assam,2008,75,75,78,India,Asia
India,Assam,2009,63,61,65,India,Asia
India,Assam,2010,32,32,33,India,Asia
Indonesia,Aceh,1990,72,61,127,Indonesia,Asia
Indonesia,Aceh,1991,58,57,133,Indonesia,Asia
Indonesia,Aceh,1999,187,179,258,Indonesia,Asia
Indonesia,Aceh,2000,286,242,332,Indonesia,Asia
Indonesia,Aceh,2001,278,254,306,Indonesia,Asia
Indonesia,Aceh,2002,466,429,571,Indonesia,Asia
Indonesia,Aceh,2003,868,839,1365,Indonesia,Asia
Indonesia,Aceh,2004,935,932,1075,Indonesia,Asia
Indonesia,Aceh,2005,213,213,215,Indonesia,Asia
Panama,,1989,77,24,233,Panama,Americas
"United States of America, Panama",,1989,843,745,2001,Panama,Americas
Papua New Guinea,Bougainville,1990,55,55,65,Papua New Guinea,Asia
Papua New Guinea,Bougainville,1992,35,35,55,"Solomon Islands, Papua New Guinea",Asia
Papua New Guinea,Bougainville,1993,34,34,62,Papua New Guinea,Asia
Papua New Guinea,Bougainville,1994,26,26,26,Papua New Guinea,Asia
Papua New Guinea,Bougainville,1995,29,29,31,Papua New Guinea,Asia
Papua New Guinea,Bougainville,1996,78,78,80,Papua New Guinea,Asia
Romania,,1989,249,249,499,Romania,Europe
Somalia,Islamic State,2019,33,33,36,Somalia,Africa
Somalia,Islamic State,2020,41,34,46,Somalia,Africa
Somalia,Islamic State,2021,53,53,104,Somalia,Africa
"Kuwait, Iraq",Kuwait,1990,1058,1058,1058,Kuwait,Middle East
"Kuwait, Iraq",Kuwait,1991,21790,21747,26203,"Kuwait, Saudi Arabia, Iraq, Philippines",Middle East
Mali,Azawad,1990,457,457,467,Mali,Africa
Mali,Azawad,1991,59,3,138,Mali,Africa
Mali,Azawad,1994,106,106,106,Mali,Africa
Mali,Azawad,2007,39,39,39,Mali,Africa
Mali,Azawad,2008,112,112,127,Mali,Africa
Mali,Azawad,2009,39,39,39,Mali,Africa
Mali,Azawad,2012,131,126,309,Mali,Africa
Mali,Azawad,2014,94,94,102,Mali,Africa
Mali,Azawad,2015,54,53,72,Mali,Africa
Niger,Air and Azawad,1994,50,50,90,Niger,Africa
Rwanda,,1990,1126,1098,2338,Rwanda,Africa
Rwanda,,1991,153,150,1977,Rwanda,Africa
Rwanda,,1992,87,87,1390,Rwanda,Africa
Rwanda,,1993,353,353,403,Rwanda,Africa
Rwanda,,1994,1882,1781,2026,Rwanda,Africa
Rwanda,,1996,90,90,390,Rwanda,Africa
Rwanda,,1997,1081,681,1461,"Rwanda, DR Congo (Zaire)",Africa
Rwanda,,1998,1096,1096,1901,"Rwanda, DR Congo (Zaire)",Africa
Rwanda,,1999,315,115,315,DR Congo (Zaire),Africa
Rwanda,,2000,155,155,294,DR Congo (Zaire),Africa
Rwanda,,2001,2044,349,2074,Rwanda,Africa
Rwanda,,2002,83,83,83,"Burundi, DR Congo (Zaire)",Africa
Rwanda,,2009,1807,1703,2060,DR Congo (Zaire),Africa
Rwanda,,2010,208,207,219,DR Congo (Zaire),Africa
Rwanda,,2011,116,101,118,DR Congo (Zaire),Africa
Rwanda,,2012,83,59,99,"Rwanda, DR Congo (Zaire)",Africa
Rwanda,,2016,136,136,136,DR Congo (Zaire),Africa
Rwanda,,2019,226,226,305,"Rwanda, DR Congo (Zaire)",Africa
Rwanda,,2020,134,133,137,DR Congo (Zaire),Africa
Senegal,Casamance,1990,58,58,58,Senegal,Africa
Senegal,Casamance,1992,78,78,78,"Senegal, Guinea-Bissau",Africa
Senegal,Casamance,1993,233,233,243,Senegal,Africa
Senegal,Casamance,1995,299,299,303,Senegal,Africa
Senegal,Casamance,1997,319,319,319,Senegal,Africa
Senegal,Casamance,1998,242,242,252,Senegal,Africa
Senegal,Casamance,2000,47,47,52,"Senegal, Guinea-Bissau",Africa
Senegal,Casamance,2001,33,33,223,Senegal,Africa
Senegal,Casamance,2003,39,38,39,Senegal,Africa
Senegal,Casamance,2011,25,25,43,Senegal,Africa
Russia (Soviet Union),Nagorno-Karabakh,1990,49,49,64,Russia (Soviet Union),Europe
Russia (Soviet Union),Nagorno-Karabakh,1991,220,220,501,Russia (Soviet Union),Europe
"United States of America, United Kingdom, Afghanistan",,2001,1397,1388,2075,Afghanistan,"Asia, Europe, Americas"
Russia (Soviet Union),Azerbaijan,1990,143,29,338,Russia (Soviet Union),Europe
Libya,Islamic State,2016,1678,1607,2720,Libya,Africa
Libya,Islamic State,2017,96,95,121,Libya,Africa
Libya,Islamic State,2018,44,44,45,Libya,Africa
Libya,Islamic State,2019,43,43,43,Libya,Africa
Libya,Islamic State,2015,118,116,121,Libya,Africa
Trinidad and Tobago,,1990,39,32,55,Trinidad and Tobago,Americas
Djibouti,,1991,60,60,240,Djibouti,Africa
Djibouti,,1992,129,44,757,Djibouti,Africa
Djibouti,,1993,33,33,107,Djibouti,Africa
Djibouti,,1994,39,39,46,Djibouti,Africa
Djibouti,,1999,25,25,57,Djibouti,Africa
Georgia,,1992,71,71,76,Georgia,Europe
Georgia,,1993,152,152,152,Georgia,Europe
Georgia,,1991,52,52,170,Georgia,Europe
Haiti,,2004,207,130,516,Haiti,Americas
Haiti,,1989,48,21,57,Haiti,Americas
Haiti,,1991,160,55,359,Haiti,Americas
Sierra Leone,,1991,552,551,1263,Sierra Leone,Africa
Sierra Leone,,1992,218,218,342,Sierra Leone,Africa
Sierra Leone,,1993,415,415,1088,"Liberia, Sierra Leone",Africa
Sierra Leone,,1994,628,628,779,Sierra Leone,Africa
Sierra Leone,,1995,1472,1472,2052,Sierra Leone,Africa
Sierra Leone,,1996,570,570,735,Sierra Leone,Africa
Sierra Leone,,1997,748,747,1552,Sierra Leone,Africa
Sierra Leone,,1998,3287,3285,4197,Sierra Leone,Africa
Sierra Leone,,1999,3153,3153,5650,Sierra Leone,Africa
Sierra Leone,,2000,382,382,642,Sierra Leone,Africa
Sierra Leone,,2001,48,48,92,Sierra Leone,Africa
Turkey,,2016,434,434,514,Turkey,Middle East
Turkey,,1991,39,39,39,Turkey,Middle East
Turkey,,1992,71,71,71,Turkey,Middle East
Turkey,,1993,32,32,32,Turkey,Middle East
Turkey,,2000,30,30,30,Turkey,Middle East
Turkey,,2005,30,30,30,Turkey,Middle East
Serbia (Yugoslavia),Slovenia,1991,64,64,64,Serbia (Yugoslavia),Europe
Serbia (Yugoslavia),Croatia,1992,153,153,163,Serbia (Yugoslavia),Europe
Serbia (Yugoslavia),Croatia,1991,2958,2885,4401,Serbia (Yugoslavia),Europe
Algeria,,1991,34,34,34,Algeria,Africa
Algeria,,1992,257,257,336,Algeria,Africa
Algeria,,1993,800,800,860,Algeria,Africa
Algeria,,1994,1916,1916,2079,Algeria,Africa
Algeria,,1995,3008,2984,6091,Algeria,Africa
Algeria,,1996,1084,1078,1507,Algeria,Africa
Algeria,,1997,1403,1403,2061,Algeria,Africa
Algeria,,1998,3029,3029,3665,Algeria,Africa
Algeria,,1999,1031,1031,1059,Algeria,Africa
Algeria,,2000,947,947,1026,Algeria,Africa
Algeria,,2001,642,642,866,Algeria,Africa
Algeria,,2002,539,539,540,Algeria,Africa
Algeria,,2003,670,670,686,Algeria,Africa
Algeria,,2004,451,451,467,"Niger, Algeria, Chad",Africa
Algeria,,2005,229,228,262,"Mali, Algeria",Africa
Algeria,,2006,255,255,286,Algeria,Africa
Algeria,,2007,472,471,518,Algeria,Africa
Algeria,,2008,339,339,410,Algeria,Africa
Algeria,,2009,505,493,674,Algeria,Africa
Algeria,,2010,236,236,276,Algeria,Africa
Algeria,,2011,267,259,273,Algeria,Africa
Algeria,,2012,256,250,310,Algeria,Africa
Algeria,,2013,147,147,165,Algeria,Africa
Algeria,,2014,107,83,147,Algeria,Africa
Algeria,,2015,84,81,91,Algeria,Africa
Algeria,,2016,86,82,91,Algeria,Africa
Algeria,,2017,60,60,73,Algeria,Africa
Algeria,,2018,33,33,37,Algeria,Africa
Algeria,,2020,26,26,26,Algeria,Africa
Angola,Cabinda,2016,25,9,185,Angola,Africa
Angola,Cabinda,2017,25,16,111,Angola,Africa
Angola,Cabinda,2019,25,10,50,"DR Congo (Zaire), Angola, Congo",Africa
Angola,Cabinda,2020,25,11,136,"DR Congo (Zaire), Angola, Congo",Africa
Angola,Cabinda,2022,25,6,149,"DR Congo (Zaire), Angola, Congo",Africa
Angola,Cabinda,1991,25,6,41,Angola,Africa
Angola,Cabinda,1992,25,2,128,Angola,Africa
Angola,Cabinda,1994,50,4,154,Angola,Africa
Angola,Cabinda,1995,25,3,87,Angola,Africa
Angola,Cabinda,1996,29,6,256,Angola,Africa
Angola,Cabinda,1997,51,6,70,Angola,Africa
Angola,Cabinda,1998,25,13,313,Angola,Africa
Angola,Cabinda,2002,56,32,435,Angola,Africa
Angola,Cabinda,2003,25,22,146,Angola,Africa
Angola,Cabinda,2004,25,8,54,Angola,Africa
Angola,Cabinda,2007,25,0,110,Angola,Africa
Angola,Cabinda,2009,25,1,66,Angola,Africa
Azerbaijan,Artsakh (Nagorno-Karabakh),2016,141,141,263,"Armenia, Azerbaijan",Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),2017,36,36,37,Azerbaijan,Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),2020,7646,7548,9077,"Armenia, Azerbaijan",Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),2021,40,40,43,"Armenia, Azerbaijan",Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),2022,308,308,310,"Armenia, Azerbaijan",Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),1991,35,35,35,Azerbaijan,Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),1992,2167,2099,3635,"Armenia, Azerbaijan",Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),1993,1171,968,1801,"Armenia, Azerbaijan",Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),1994,1507,1257,3937,"Armenia, Azerbaijan",Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),1997,29,29,36,Azerbaijan,Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),1998,34,34,38,Azerbaijan,Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),2005,25,25,26,"Armenia, Azerbaijan",Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),2008,30,30,43,Azerbaijan,Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),2012,25,25,27,"Armenia, Azerbaijan",Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),2014,46,45,54,Azerbaijan,Europe
Azerbaijan,Artsakh (Nagorno-Karabakh),2015,72,65,121,"Armenia, Azerbaijan",Europe
Bosnia-Herzegovina,Serb,1992,16802,13900,19027,"Bosnia-Herzegovina, Serbia (Yugoslavia), Croatia",Europe
Bosnia-Herzegovina,Serb,1993,4980,4491,6329,Bosnia-Herzegovina,Europe
Bosnia-Herzegovina,Serb,1994,4873,4410,5609,Bosnia-Herzegovina,Europe
Bosnia-Herzegovina,Serb,1995,8061,7722,9761,Bosnia-Herzegovina,Europe
Croatia,Serb,1992,4034,4011,4078,"Bosnia-Herzegovina, Serbia (Yugoslavia), Croatia",Europe
Croatia,Serb,1993,418,418,486,"Bosnia-Herzegovina, Croatia",Europe
Croatia,Serb,1994,86,86,86,Bosnia-Herzegovina,Europe
Croatia,Serb,1995,1132,672,2823,"Bosnia-Herzegovina, Croatia",Europe
Egypt,,2017,103,103,160,Egypt,Middle East
Egypt,,2018,28,28,28,Egypt,Middle East
Egypt,,2019,48,42,54,Egypt,Middle East
Egypt,,1993,103,103,119,Egypt,Middle East
Egypt,,1994,145,145,157,Egypt,Middle East
Egypt,,1995,191,191,199,"Ethiopia, Egypt",Middle East
Egypt,,1996,85,85,99,Egypt,Middle East
Egypt,,1997,66,66,69,Egypt,Middle East
Egypt,,1998,27,27,29,Egypt,Middle East
Egypt,,2014,184,184,184,Egypt,Middle East
Georgia,Abkhazia,1992,566,566,1195,Georgia,Europe
Georgia,Abkhazia,1993,1611,1611,2563,Georgia,Europe
Georgia,South Ossetia,1992,134,134,137,Georgia,Europe
Georgia,South Ossetia,2004,27,27,73,Georgia,Europe
Georgia,South Ossetia,2008,621,621,859,Georgia,Europe
Moldova,Dniestr,1992,585,316,632,Moldova,Europe
Tajikistan,,1992,3355,3352,5118,Tajikistan,Asia
Tajikistan,,1993,1395,1395,1596,"Tajikistan, Afghanistan",Asia
Tajikistan,,1994,356,356,645,Tajikistan,Asia
Tajikistan,,1995,368,362,649,"Tajikistan, Afghanistan",Asia
Tajikistan,,1996,2790,2790,2869,Tajikistan,Asia
Tajikistan,,1997,87,87,87,Tajikistan,Asia
Tajikistan,,1998,600,600,617,Tajikistan,Asia
Tajikistan,,2000,46,46,46,Tajikistan,Asia
